PremiereDate;Title;Studio;KidsMovie;Rating;Genre;Copies;VisitorsOnPremiereWeekend;VisitorsOverall;ExpertsForacast
05.03.15;Afrika - Das magische Königreich;Constantin Film;no;0;DramaArthouse;110;8901;47740;12020
05.03.15;Chappie;Sony Pictures Releasing;no;12;ActionAdventure;449;85300;187165;177240
05.03.15;Focus;Warner Bros.;no;12;Comedy;474;137176;373931;133800
05.03.15;Fußball - Großes Spiel mit kleinen Helden;Splendid;yes;0;Animation;173;1608;4437;10952
05.03.15;Project Almanac;Paramount Pictures;no;6;ActionAdventure;159;10117;24695;40980
05.03.15;Seventh Son (3D);Universal Pictures;no;12;Fantasy;271;35360;73438;71260
05.03.15;Still Alice - Mein Leben ohne gestern;polyband;no;0;DramaArthouse;105;42389;361250;61660
05.03.15;Verstehen Sie die Béliers?;Concorde;no;0;DramaArthouse;206;46270;423423;48044
12.03.15;Cinderella;Walt Disney;yes;0;Family;514;274484;1049442;239950
12.03.15;Die Trauzeugen AG;Sony Pictures Releasing;no;12;Comedy;305;52917;122564;67125
12.03.15;Kingsman: The Secret Service;20th Century Fox;no;16;Comedy;536;191405;770956;235490
12.03.15;Leviathan;Wild Bunch;no;12;DramaArthouse;24;6535;32525;6328
19.03.15;3 Herzen;Wild Bunch;no;6;DramaArthouse;41;7625;26715;6222
19.03.15;A Most Violent Year;Universum Film;no;12;DramaArthouse;79;10698;50070;13880
19.03.15;Das ewige Leben;Majestic (Fox);no;12;DramaArthouse;67;26200;161723;20230
19.03.15;Die Bestimmung - Insurgent;Concorde;yes;12;TeenagerMovie;530;157383;561432;239180
19.03.15;Shaun das Schaf;Studiocanal;yes;0;Family;584;317204;1801532;264464
19.03.15;The Boy Next Door;Universal Pictures;no;16;Thriller;277;75983;286453;47775
26.03.15;Der Nanny;Warner Bros.;no;12;Comedy;629;315562;1654677;361540
26.03.15;Home - Ein smektakulärer Trip;20th Century Fox;yes;0;Animation;620;119240;711191;168300
26.03.15;Tod den Hippies - Es lebe der Punk!;X Verleih;no;16;DramaArthouse;76;10065;37429;24180
01.04.15;Fast & Furious 7;Universal Pictures;no;12;ActionAdventure;642;1334183;4156214;1190000
02.04.15;Best Exotic Marigold Hotel 2;20th Century Fox;no;0;DramaArthouse;241;60967;284171;123000
02.04.15;Every Thing Will Be Fine;Warner Bros.;no;6;DramaArthouse;86;13424;47475;18070
02.04.15;Gespensterjäger - Auf eisiger Spur;Warner Bros.;yes;6;Family;458;45783;200098;103700
02.04.15;Mara und der Feuerbringer;Constantin Film;yes;6;TeenagerMovie;322;11917;33021;40750
09.04.15;Cake;Warner Bros.;no;12;DramaArthouse;50;2775;6248;10200
09.04.15;Cobain: Montage of Heck;Arts Alliance;no;12;DramaArthouse;125;16456;16456;10287
09.04.15;Der Kaufhaus Cop 2;Sony Pictures Releasing;no;6;Comedy;486;162222;774046;256607
09.04.15;Die Coopers - Schlimmer geht immer;Walt Disney;yes;0;Family;228;13057;31831;37480
09.04.15;Elser;NFP;no;12;DramaArthouse;153;22520;157557;51917
09.04.15;Halbe Brüder;Universal Pictures;no;12;Comedy;412;82322;262116;156133
09.04.15;The F-Word - Von wegen nur gute Freunde!;Senator;no;6;Comedy;13;886;19582;8660
09.04.15;Winnetous Sohn;Weltkino;yes;0;Family;126;3009;19726;
16.04.15;DessauDancers;Senator;no;0;DramaArthouse;30;1031;7621;3063
16.04.15;Nur eine Stunde Ruhe!;DCM;no;0;DramaArthouse;194;17854;91980;44575
16.04.15;Run All Night;Warner Bros.;no;16;ActionAdventure;377;85495;291944;142050
16.04.15;The Pyramid - Grab des Grauens;20th Century Fox;no;16;Horror;59;5971;29554;15165
16.04.15;Top Five;Paramount Pictures;no;12;Comedy;101;649;15303;4925
23.04.15;Avengers: Age of Ultron;Walt Disney;no;12;ActionAdventure;500;709614;2393475;686600
23.04.15;Big Eyes;Studiocanal;no;0;DramaArthouse;133;22434;122026;32196
23.04.15;Ex Machina;Universal Pictures;no;12;Thriller;92;25702;180223;25602
30.04.15;Die Gärtnerin von Versailles;Tobis;no;6;DramaArthouse;78;35403;233489;19000
30.04.15;Kein Ort ohne dich;20th Century Fox;no;6;DramaArthouse;375;163376;639357;139917
30.04.15;The Gunman;Studiocanal;no;16;ActionAdventure;325;49990;124548;63833
30.04.15;The Voices;Ascot Elite;no;16;Comedy;61;5882;31665;8273
30.04.15;Tinkerbell und die Legende vom Nimmerbiest;Walt Disney;yes;0;Animation;433;171770;550733;115413
07.05.15;Das Versprechen eines Lebens;Universal Pictures;no;12;DramaArthouse;114;12450;31976;18183
07.05.15;Der Babadook;Capelight;no;16;Horror;93;28403;136443;15353
07.05.15;Der Knastcoach;Warner Bros.;no;12;Comedy;54;9352;43329;9667
07.05.15;Die abhandene Welt;Concorde;no;0;DramaArthouse;86;14980;76419;21033
07.05.15;HOT TUB TIME MACHINE 2;Paramount Pictures;no;12;Comedy;103;1878;7879;7667
14.05.15;Mad Max: Fury Road;Warner Bros.;no;16;ActionAdventure;665;229525;846206;332500
14.05.15;Ostwind 2;Constantin Film;yes;0;Family;505;291110;1195446;229630
14.05.15;Pitch Perfect 2;Universal Pictures;yes;6;TeenagerMovie;546;394309;1378704;572750
14.05.15;Zweite Chance;Prokino;no;12;DramaArthouse;73;9572;28069;14098
21.05.15;A World Beyond;Walt Disney;no;12;ActionAdventure;406;106994;327153;138025
21.05.15;Abschussfahrt;Constantin Film;yes;12;TeenagerMovie;302;75167;315305;102910
21.05.15;Die Augen des Engels;Concorde;no;12;DramaArthouse;67;5443;14626;8445
21.05.15;Mädchen im Eis;X Verleih;no;12;DramaArthouse;23;588;1127;1000
21.05.15;Sam O'Cool;Splendid;yes;0;Animation;147;5396;25429;9433
28.05.15;Kiss the Cook;Studiocanal;no;6;DramaArthouse;126;22951;126985;30250
28.05.15;Lost River;Tiberius Film;no;16;Fantasy;63;4444;15162;4849
28.05.15;Poltergeist;20th Century Fox;no;16;Horror;322;125429;388931;84210
28.05.15;San Andreas (3D);Warner Bros.;no;12;ActionAdventure;531;179218;549044;166250
28.05.15;Tracers;Senator;no;12;ActionAdventure;75;2798;19869;6375
04.06.15;Die Frau in Gold;DCM;no;6;DramaArthouse;139;18069;253665;
04.06.15;Kind 44;Concorde;no;16;Thriller;204;13146;67867;
04.06.15;Spy - Susan Cooper Undercover;20th Century Fox;no;12;Comedy;534;119537;603422;
11.06.15;Jurassic World (3D);Universal Pictures;no;12;ActionAdventure;714;903141;4138142;730440
11.06.15;Love & Mercy;Studiocanal;no;6;DramaArthouse;47;5874;48863;5968
11.06.15;Miss Bodyguard;Warner Bros.;no;12;Comedy;354;25380;85115;66640
11.06.15;Rico, Oskar und das Herzgebreche;20th Century Fox;yes;0;Family;465;50114;521098;83200
11.06.15;Victoria;Senator;no;12;DramaArthouse;61;15648;357942;20986
18.06.15;Big Game;Ascot Elite;no;12;ActionAdventure;170;21093;59534;15768
18.06.15;Die Lügen der Sieger;Warner Bros.;no;12;DramaArthouse;66;12889;41504;8129
18.06.15;Trash;Universal Pictures;no;12;DramaArthouse;57;7492;30928;6140
25.06.15;Die Liebe seines Lebens - The Railway Man;Koch Media;no;12;DramaArthouse;90;7633;27092;12965
25.06.15;Strange Magic;Walt Disney;yes;0;Animation;66;4106;5671;4788
25.06.15;Täterätää - Die Kirche bleibt im Dorf 2;Camino;no;0;DramaArthouse;126;16840;135696;60650
25.06.15;Ted 2;Universal Pictures;no;12;Comedy;641;364597;1197039;687125
02.07.15;Insidious: Chapter 3 - Jede Geschichte hat einen Anfang;Sony Pictures Releasing;no;16;Horror;328;57415;304912;105840
02.07.15;Marry Me!;NFP;no;0;DramaArthouse;30;968;6525;3333
02.07.15;Men & Chicken;DCM;no;12;DramaArthouse;75;4685;52835;8732
02.07.15;Minions (3D);Universal Pictures;yes;0;Animation;732;934863;6934366;707660
09.07.15;Big Business - Außer Spesen nichts gewesen;20th Century Fox;no;12;Comedy;50;1509;14374;3375
09.07.15;DUFF - Hast du keine, bist du eine!;Central Film;yes;12;TeenagerMovie;177;37228;179502;36801
09.07.15;Entourage;Warner Bros.;no;12;Comedy;54;3496;9745;5675
09.07.15;Escobar - Paradise Lost;Alamode Film;no;16;DramaArthouse;77;9689;53814;9863
09.07.15;Für immer Adaline;Universum Film;no;6;DramaArthouse;234;32643;128018;64000
09.07.15;It Follows;Weltkino;no;12;Horror;95;8144;26267;22763
09.07.15;Mama gegen Papa - Wer hier verliert, gewinnt;Splendid;no;0;Comedy;113;15487;67963;20495
09.07.15;Terminator: Genisys;Paramount Pictures;no;12;ActionAdventure;554;222940;803008;255250
16.07.15;Am grünen Rand der Welt;20th Century Fox;no;6;DramaArthouse;140;15850;94566;20700
16.07.15;Amy;Prokino;no;0;DramaArthouse;107;14984;112550;17288
16.07.15;Desaster;Studiocanal;no;12;Comedy;90;9274;35408;7150
16.07.15;Heil;X Verleih;no;12;DramaArthouse;71;8178;39280;8025
16.07.15;Unknown User;Universal Pictures;no;12;Horror;278;187640;693466;91350
23.07.15;Ant-Man;Walt Disney;no;12;ActionAdventure;451;140809;543457;170283
23.07.15;Becks letzter Sommer;Wild Bunch;no;12;DramaArthouse;83;6943;21989;8616
23.07.15;Kartoffelsalat;Central Film;yes;12;TeenagerMovie;459;119402;369846;155547
23.07.15;Magic Mike XXL;Warner Bros.;no;12;Comedy;436;203833;1004255;228427
23.07.15;Taxi Teheran;Weltkino;no;0;DramaArthouse;100;28281;202905;23333
30.07.15;Es ist kompliziert..!;Studiocanal;no;12;Comedy;71;10348;54702;9800
30.07.15;Gefühlt Mitte Zwanzig;Universum Film;no;0;DramaArthouse;76;17340;100341;12000
30.07.15;Margos Spuren;20th Century Fox;yes;6;TeenagerMovie;363;79914;355527;138417
30.07.15;Ooops! Die Arche ist weg...;Wild Bunch;yes;0;Family;361;30651;255968;65600
30.07.15;Pixels;Sony Pictures Releasing;no;6;Comedy;640;246521;1088829;206500
30.07.15;Slow West;Prokino;no;12;DramaArthouse;66;10850;52366;6687
30.07.15;The Vatican Tapes;Universum Film;no;16;Horror;103;12889;35098;13500
06.08.15;About A Girl;NFP;yes;12;DramaArthouse;91;6899;44841;13313
06.08.15;Aloha - Die Chance auf Glück;20th Century Fox;no;0;Comedy;1;136;386;
06.08.15;Horns;Universal Pictures;no;16;Thriller;41;2433;15319;5753
06.08.15;Mission: Impossible - Rogue Nation;Paramount Pictures;no;12;ActionAdventure;612;287869;1416462;325568
06.08.15;True Story - Spiel um Macht;20th Century Fox;no;12;Thriller;52;5426;44627;7640
13.08.15;Coconut Hero;Majestic (Fox);yes;12;DramaArthouse;67;6108;30769;5066
13.08.15;Codename U.N.C.L.E.;Warner Bros.;no;12;ActionAdventure;485;68563;232271;110760
13.08.15;Dating Queen;Universal Pictures;no;12;Comedy;476;109603;401449;153020
13.08.15;Fantastic Four;Constantin Film;no;12;ActionAdventure;474;63869;159951;105436
20.08.15;Boy 7;Koch Media;yes;12;TeenagerMovie;118;5084;31373;12505
20.08.15;Broadway Therapy;Wild Bunch;no;0;DramaArthouse;68;11703;59866;11038
20.08.15;Der kleine Rabe Socke 2 - Das große Rennen;Universum Film;yes;0;Family;444;32921;371473;38925
20.08.15;SELF/LESS - Der Fremde in Mir;Concorde;no;12;Thriller;249;26172;100310;50400
20.08.15;Southpaw;Tobis;no;12;DramaArthouse;226;74111;263407;47813
20.08.15;Vacation - Wir sind die Griswolds;Warner Bros.;no;6;Comedy;355;59797;203617;47563
27.08.15;Das Märchen der Märchen;Concorde;no;12;Fantasy;88;5942;24108;12805
27.08.15;Der Chor - Stimmen des Herzens;Universum Film;no;0;DramaArthouse;101;12088;125847;14235
27.08.15;Gallows;Warner Bros.;no;16;Horror;67;13096;41928;12375
27.08.15;Hitman: Agent 47;20th Century Fox;no;16;ActionAdventure;434;84482;265564;109410
27.08.15;Straight Outta Compton;Universal Pictures;no;12;ActionAdventure;343;165028;545689;180800
27.08.15;We Are Your Friends;Studiocanal;no;12;DramaArthouse;208;39756;153899;48795
03.09.15;Die Kleinen und die Bösen;Movienet;no;12;Comedy;62;4474;16693;9640
03.09.15;French Women - Was Frauen wirklich wollen;Alpenrepublik;no;12;DramaArthouse;55;7448;31601;8010
03.09.15;Königin der Wüste;Prokino;no;0;DramaArthouse;158;30581;121655;26850
03.09.15;Ricki - Wie Familie so ist;Sony Pictures Releasing;no;0;Comedy;249;43386;144864;51050
03.09.15;The Transporter Refueled;Universum Film;no;12;ActionAdventure;395;75623;162592;83500
10.09.15;Fack Ju Göhte 2;Constantin Film;yes;12;Comedy;830;2115200;7639878;1632500
10.09.15;Im Reich der Affen;Walt Disney;no;0;DramaArthouse;56;1284;2886;4946
10.09.15;Kill the Messenger;Universal Pictures;no;12;Thriller;51;5355;29128;4750
10.09.15;Knight of Cups;Studiocanal;no;6;DramaArthouse;39;4947;18767;7053
17.09.15;Captive;Paramount Pictures;no;12;Thriller;106;3187;4656;5900
